@relation dataset-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-V

@attribute variance numeric
@attribute skewness numeric
@attribute curtosis numeric
@attribute entropy numeric
@attribute class numeric

@data
-6.5084,8.7696,0.23191,-3.937,1
-2.1652,3.0211,-2.4132,-2.4241,1
-4.6765,-5.6636,10.969,-0.33449,1
-1.7344,2.0175,7.7618,0.93532,0
3.9364,10.5885,-3.725,-4.3133,0
0.27331,4.8773,-4.9194,-5.8198,1
5.3586,3.7557,-1.7345,1.0789,0
0.77765,5.9781,1.1941,-0.3526,0
5.681,7.795,-2.6848,-0.92544,0
1.5456,8.5482,0.4187,-2.1784,0
0.20216,1.9182,-3.2828,-0.61768,1
-0.21661,8.0329,1.8848,-3.8853,0
-5.3012,7.3915,0.029699,-7.3987,1
-0.11996,6.8741,0.91995,-0.6694,0
-0.89809,-4.4862,2.2009,0.50731,1
2.3952,9.5083,-3.1783,-3.0086,0
3.2032,5.7588,-0.75345,-0.61251,0
0.21084,9.4359,-0.094543,-1.859,0
-2.5754,-5.6574,6.103,0.65214,1
1.1518,1.3864,5.2727,-0.43536,0
-6.0598,9.2952,-0.43642,-6.3694,1
-2.7769,-5.6967,5.9179,0.37671,1
1.1644,3.8095,-4.9408,-4.0909,1
-4.4775,-13.0303,17.0834,-3.0345,1
1.6406,3.5488,1.3964,-0.36424,0
2.5227,2.2369,2.7236,0.79438,0
-0.49948,1.7734,-2.2469,-0.68104,1
2.7744,6.8576,-1.0671,0.075416,0
2.4673,1.3926,1.7125,0.41421,0
2.2279,4.0951,-4.8037,-2.1112,1
-0.59587,2.4811,-2.8673,-0.89828,1
-0.24037,-1.7837,2.135,1.2418,1
-3.1423,-13.0365,15.6773,-0.66165,1
-1.2568,-1.4733,2.8718,0.44653,1
1.4479,-4.8794,8.3428,-2.1086,0
2.1464,6.0795,-0.5778,-2.2302,0
1.8533,6.1458,1.0176,-2.0401,0
-6.1536,7.9295,0.61663,-3.2646,1
-3.0731,-0.53181,2.3877,0.77627,1
2.0962,2.4769,1.9379,-0.040962,0
-0.89569,3.0025,-3.6067,-3.4457,1
-1.7976,-6.7686,6.6753,0.89912,1
3.9121,2.9735,0.92852,0.60558,0
2.1721,-0.73874,5.4672,-0.72371,0
0.88444,6.5906,0.55837,-0.44182,0
-2.9098,-10.0712,8.4156,-1.9948,1
-0.39816,5.9781,1.3912,-1.1621,0
2.4235,9.5332,-3.0789,-2.7746,0
2.3066,3.5364,0.57551,0.41938,0
0.54777,10.3754,-1.5435,-4.1633,0
1.8799,2.4707,2.4931,0.37671,0
0.37637,-0.82358,0.78543,0.74524,1
3.2718,1.7837,2.1161,0.61334,0
-1.2792,2.1376,-0.47584,-1.3974,1
5.4944,1.5478,0.041694,1.9284,0
0.56953,7.6294,1.5754,-3.2233,0
1.3638,-4.7759,8.4182,-1.8836,0
3.5761,9.7753,-3.9795,-3.4638,0
4.068,-2.9363,2.1992,0.50084,0
-1.8448,1.254,0.27218,-1.0728,1
5.1302,8.6703,-2.8913,-1.5086,0
2.7831,10.9796,-3.557,-4.4039,0
2.6415,7.586,-0.28562,-1.6677,0
0.025013,3.3998,-4.4327,-4.2655,1
-2.9498,-8.273,10.2646,1.1629,1
-3.8203,-13.0551,16.9583,-2.3052,1
3.9166,10.2491,-4.0926,-4.4659,0
-2.1674,0.12415,-1.0465,-0.86208,1
3.9433,2.5017,1.5215,0.903,0
-1.8387,-6.301,5.6506,0.19567,1
-0.28696,3.1784,-3.5767,-3.1896,1
-5.119,6.6486,-0.049987,-6.5206,1
0.11686,3.735,-4.4379,-4.3741,1
3.482,-4.1634,3.5008,-0.078462,0
-0.90784,-7.9026,6.7807,0.34179,1
2.093,8.3061,0.022844,-3.2724,0
-5.1661,8.0433,0.044265,-4.4983,1
0.25035,9.3262,-3.6873,-6.2543,0
-3.5933,0.22968,0.7126,-0.3332,1
1.6988,2.9094,2.9044,0.11033,0
0.12326,8.9848,-0.9351,-2.4332,0
0.4283,-0.94981,-1.0731,0.3211,1
3.4566,9.5228,-4.0112,-3.5944,0
-1.7279,-6.841,8.9494,0.68058,1
-2.2617,-4.7428,6.3489,0.11162,1
2.6606,3.1681,1.9619,0.18662,0
0.30081,0.17381,-1.7542,0.48921,1
-3.6227,3.9958,-0.35845,-3.9047,1
-2.2214,-0.23798,0.56008,0.05602,1
1.9157,6.0816,0.23705,-2.0116,0
-1.2786,-2.4087,4.5735,0.47627,1
2.3969,0.23589,4.8477,1.437,0
-2.0046,-0.49457,1.333,1.6543,1
3.7758,7.1783,-1.5195,0.40128,0
0.6005,1.9327,-3.2888,-0.32415,1
-2.2623,12.1177,0.28846,-7.7581,0
-1.6029,-0.38903,1.62,1.9103,1
-1.7063,2.7956,-2.378,-2.3491,1
-1.6244,-6.3444,4.6575,0.16981,1
1.9818,9.2621,-3.521,-1.872,0
2.994,7.2011,-1.2153,0.3211,0
1.2262,0.89599,5.7568,-0.11596,0
-1.2424,-1.7175,-0.52553,-0.21036,1
-0.36025,-4.449,2.1067,0.94308,1
4.6689,1.3098,0.055404,1.909,0
-0.64326,2.4748,-2.9452,-1.0276,1
-1.7589,-6.4624,8.4773,0.31981,1
-2.4725,-0.40145,1.4855,1.1189,1
4.0962,10.1891,-3.9323,-4.1827,0
-3.5741,3.944,-0.07912,-2.1203,1
0.64295,7.1018,0.3493,-0.41337,0
0.68087,2.3259,4.9085,0.54998,0
0.57461,10.1105,-1.6917,-4.3922,0
2.5635,6.7769,-0.61979,0.38576,0
-3.9204,4.0723,-0.23678,-2.1151,1
2.4008,9.3593,-3.3565,-3.3526,0
-2.7338,0.45523,2.4391,0.21766,1
2.1616,-6.8804,8.1517,-0.081048,0
5.0429,-0.52974,0.50439,1.106,0
4.052,-0.16555,0.45383,0.51248,0
-2.3797,-1.4402,1.1273,0.16076,1
0.81356,9.1566,-2.1492,-4.1814,0
-3.7573,-8.2916,10.3032,0.38059,1
2.2429,-4.1427,5.2333,-0.40173,0
-1.5449,-10.1498,9.6152,-1.2332,1
-0.53072,-0.097265,-0.21793,1.0426,1
0.85574,0.008268,6.6042,-0.53104,0
-4.8554,-5.9037,10.9818,-0.82199,1
-2.5463,3.1101,-0.83228,-3.0358,1
0.5195,-3.2633,3.0895,-0.9849,0
-2.234,-7.0314,7.4936,0.61334,1
2.0911,0.94358,4.5512,1.234,0
-3.9698,3.6812,-0.60008,-4.0133,1
1.2247,8.7779,-2.2135,-0.80647,0
4.9249,0.68906,0.77344,1.2095,0
2.4486,-6.3175,7.9632,0.20602,0
2.5331,2.9135,-0.822,-0.12243,0
-2.4473,12.6247,0.73573,-7.6612,0
2.9695,5.6222,0.27561,-1.1556,0
4.1711,8.722,-3.0224,-0.59699,0
3.1836,7.2321,-1.0713,-2.5909,0
2.4012,1.6223,3.0312,0.71679,0
-7.0364,9.2931,0.16594,-4.5396,1
-1.6677,-7.1535,7.8929,0.96765,1
3.8481,10.1539,-3.8561,-4.2228,0
3.1541,-5.1711,6.5991,0.57455,0
1.1811,8.3847,-2.0567,-0.90345,0
1.645,7.8612,-0.87598,-3.5569,0
-1.7549,-0.080711,-0.75774,-0.3707,1
-1.6952,1.0657,8.8294,0.94955,0
0.96414,5.616,2.2138,-0.12501,0
-2.5526,-7.3625,6.9255,-0.66811,1
1.7748,-0.76978,5.5854,1.3039,0
4.7285,2.1065,-0.28305,1.5625,0
-0.72068,-6.7583,5.8408,0.62369,1
-4.8426,-4.9932,10.4052,-0.53104,1
2.549,6.1499,-1.1605,-1.2371,0
-3.2778,1.8023,0.1805,-2.3931,1
-0.36506,2.8928,-3.6461,-3.0603,1
-4.9447,3.3005,1.063,-1.444,1
3.2051,8.6889,-2.9033,-0.7819,0
3.2704,6.9321,-1.0456,0.23447,0
-2.899,-0.60424,2.6045,1.3776,1
5.262,3.9834,-1.5572,1.0103,0
-0.49281,3.0605,-1.8356,-2.834,1
1.4507,8.7903,-2.2324,-0.65259,0
4.0405,0.51524,1.0279,1.106,0
-0.87834,3.257,-3.6778,-3.2944,1
0.11739,6.2761,-1.5495,-2.4746,0
-3.4083,4.8587,-0.76888,-4.8668,1
2.1274,5.1939,-1.7971,-1.1763,0
-2.2804,-0.30626,1.3347,1.3763,1
-4.3876,-7.7267,11.9655,-1.4543,1
2.9543,1.076,0.64577,0.89394,0
1.164,3.913,-4.5544,-3.8672,1
-0.71494,-4.4448,2.2241,0.49826,1
2.8209,7.3108,-0.81857,-1.8784,0
0.60731,3.9544,-4.772,-4.4853,1
0.004054,0.62905,-0.64121,0.75817,1
-2.4604,12.7302,0.91738,-7.6418,0
-1.3968,-9.6698,9.4652,-0.34872,1
3.757,-5.4236,3.8255,-1.2526,0
-2.2527,11.5321,2.5899,-3.2737,0
0.23874,2.0879,-3.3522,-0.66553,1
-2.41,3.7433,-0.40215,-1.2953,1
0.16358,-3.3584,1.3749,1.3569,1
-2.3211,3.166,-1.0002,-2.7151,1
-0.278,8.1881,-3.1338,-2.5276,0
-3.0201,-0.67253,2.7056,0.85774,1
-2.2677,3.2964,-2.2563,-2.4642,1
0.14783,7.946,1.0742,-3.3409,0
-5.637,8.1261,0.13081,-5.0142,1
-1.5877,-6.6072,5.8022,0.31593,1
-3.2051,-0.14279,0.97565,0.045675,1
-1.5768,10.843,2.5462,-2.9362,0
4.0047,0.45937,1.3621,1.6181,0
2.8969,0.70768,2.29,1.8663,0
0.1848,6.5079,2.0133,-0.87242,0
-2.0545,-10.8679,9.4926,-1.4116,1
0.92703,9.4318,-0.66263,-1.6728,0
-2.2811,-0.85669,2.7185,0.044382,1
0.5706,-0.0248,1.2421,-0.5621,0
4.2899,9.1814,-4.6067,-4.3263,0
-1.3414,-2.0776,2.8093,0.60688,1
4.4072,-0.070365,2.0416,1.1319,0
